Der Vorgesetzte gab dem Mitarbeiter Feedback zu seiner hervorragenden Leistung.
Der Vorgesetzte gab der Mitarbeiterin Feedback zu ihrer hervorragenden Leistung.
Der Vorgesetzte gab dem Mitarbeiter Feedback zu seiner hervorragenden Leistung.
Der Vorgesetzte gab jemandem Feedback zu seiner herausragenden Leistung.
Der Vorgesetzte gab jemandem Feedback zu ihrer herausragenden Leistung.
Der Vorgesetzte gab jemandem Feedback zu seiner herausragenden Leistung.
Der Mitarbeiter gab dem Vorgesetzten Feedback zu seinem Führungsstil.
Die Mitarbeiterin gab dem Vorgesetzten Feedback zu ihrem Führungsstil.
Der Mitarbeiter gab dem Vorgesetzten Feedback zu seinem Führungsstil.
Jemand gab dem Vorgesetzten Feedback zu seinem Führungsstil.
Jemand gab der Vorgesetzten Feedback zu ihrem Führungsstil.
Jemand gab dem Vorgesetzten Feedback zu seinem Führungsstil.
Der Ingenieur teilte dem Kunden mit, dass er für die Fertigstellung des Projekts mehr Zeit benötigen würde.
Die Ingenieurin teilte der Kundin mit, dass sie für die Fertigstellung des Projekts mehr Zeit benötigen würde.
Der Ingenieur teilte dem Kunden mit, dass er für die Fertigstellung des Projekts mehr Zeit benötigen würde.
Der Ingenieur teilte jemandem mit, dass er mehr Zeit benötigen würde, um das Projekt abzuschließen.
Die Ingenieurin teilte jemandem mit, dass sie mehr Zeit benötigen würde, um das Projekt abzuschließen.
Der Ingenieur teilte jemandem mit, dass er mehr Zeit benötigen würde, um das Projekt abzuschließen.
Der Ingenieur teilte dem Kunden mit, dass er alle zukünftigen Zahlungen pünktlich leisten müsse.
Der Ingenieur teilte der Kundin mit, dass sie alle zukünftigen Zahlungen pünktlich leisten müsse.
Der Ingenieur teilte dem Kunden mit, dass er alle zukünftigen Zahlungen pünktlich leisten müsse.
Der Ingenieur teilte jemandem mit, dass er alle zukünftigen Zahlungen pünktlich leisten müsse.
Die Ingenieurin teilte jemandem mit, dass sie alle zukünftigen Zahlungen pünktlich leisten müsse.
Der Ingenieur teilte jemandem mit, dass alle zukünftigen Zahlungen pünktlich erfolgen müssten.
Der Mitarbeiter forderte den Fußgänger auf, den gesperrten Straßenabschnitt zu meiden.
Der Mitarbeiter forderte die Fußgängerin auf, den gesperrten Straßenabschnitt zu meiden.
Der Mitarbeiter forderte die Fußgänger auf, den gesperrten Straßenabschnitt zu meiden.
Der Arbeiter sagte jemandem, er solle den gesperrten Teil der Straße meiden.
Die Mitarbeiterin sagte jemandem, sie solle den gesperrten Teil der Straße meiden.
Der Mitarbeiter sagte jemandem, er solle den gesperrten Teil der Straße meiden.
Der Arbeiter teilte dem Fußgänger mit, dass er den Gehweg so schnell wie möglich reparieren werde.
Die Arbeiterin teilte dem Fußgänger mit, dass sie den Gehweg so schnell wie möglich reparieren werde.
Der Arbeiter teilte dem Fußgänger mit, dass der Gehweg so schnell wie möglich repariert werde.
Der Arbeiter sagte jemandem, dass er den Gehweg so schnell wie möglich reparieren würde.
Die Arbeiterin sagte jemandem, dass sie den Gehweg so schnell wie möglich reparieren würde.
Der Arbeiter sagte jemandem, dass sie den Gehweg so schnell wie möglich reparieren würden.
Der Pädagoge traf sich mit einem Schüler, um seine Schreibfähigkeiten zu besprechen.
Der Pädagoge traf sich mit einer Schülerin, um ihre Schreibfähigkeiten zu besprechen.
Der Pädagoge traf sich mit einem Schüler, um seine Schreibfähigkeiten zu besprechen.
Der Pädagoge traf sich mit jemandem, um seine Schreibfähigkeiten zu besprechen.
Die Pädagogin traf sich mit jemandem, um ihre Schreibfähigkeiten zu besprechen.
Der Pädagoge traf sich mit jemandem, um seine Schreibfähigkeiten zu besprechen.
Der Lehrer traf sich mit einem Schüler, um seine Benotungspolitik zu besprechen.
Die Lehrerin traf sich mit einer Schülerin, um ihre Benotungspolitik zu besprechen.
Der Pädagoge traf sich mit einem Studenten, um die Benotungspolitik zu besprechen.
Der Pädagoge traf sich mit jemandem, um seine Benotungspolitik zu besprechen.
Die Pädagogin traf sich mit jemandem, um ihre Benotungspolitik zu besprechen.
Der Pädagoge traf sich mit jemandem, um die Bewertungspolitik zu besprechen.
Der Sachbearbeiter überreichte dem Kunden Unterlagen zum Ausfüllen.
Der Sachbearbeiter überreichte der Kundin Unterlagen zum Ausfüllen.
Der Sachbearbeiter überreichte dem Kunden Unterlagen zum Ausfüllen.
Der Sachbearbeiter reichte ihm Unterlagen zum Ausfüllen.
Der Sachbearbeiter reichte ihr Unterlagen zum Ausfüllen.
Der Sachbearbeiter reichte jemandem Unterlagen zum Ausfüllen.
Der Sachbearbeiter überreichte dem Kunden die Unterlagen, die er ihm nach Abschluss der Arbeiten zurückgeben sollte.
Der Sachbearbeiter überreichte der Kundin die Unterlagen, die sie ihr nach Abschluss der Transaktion zurückgeben sollte.
Der Sachbearbeiter überreichte dem Kunden die Unterlagen, die er ihm nach Abschluss der Arbeiten zurückgeben sollte.
Der Sachbearbeiter übergab jemandem die Unterlagen, die er ihm nach Abschluss zurückgeben sollte.
Der Sachbearbeiter übergab jemandem die Unterlagen, die er ihr nach Abschluss zurückgeben sollte.
Der Sachbearbeiter hat jemandem die Unterlagen übergeben, die ihm nach Abschluss zurückgegeben werden sollten.
Der Berater teilte dem Patienten mit, dass er berufsbedingt verpflichtet sei, bestimmte Probleme zu melden.
Die Beraterin teilte der Patientin mit, dass sie berufsbedingt verpflichtet sei, bestimmte Probleme zu melden.
Der Berater erklärte dem Patienten, dass er berufsbedingt verpflichtet sei, bestimmte Probleme zu melden.
Der Berater teilte einer Person mit, dass er berufsbedingt dazu verpflichtet sei, bestimmte Probleme zu melden.
Die Beraterin teilte jemandem mit, dass sie berufsbedingt verpflichtet sei, bestimmte Probleme zu melden.
Der Berater teilte einer Person mit, dass es seine berufliche Pflicht sei, bestimmte Probleme zu melden.
Der Patient offenbarte dem Berater, dass er in seiner Vergangenheit Drogen missbraucht hatte.
Die Patientin teilte dem Berater mit, dass sie in ihrer Vergangenheit Drogen missbraucht habe.
Der Patient teilte dem Berater mit, dass er in seiner Vergangenheit Drogen missbraucht habe.
Jemand offenbarte dem Berater, dass er in seiner Vergangenheit Drogen missbraucht hatte.
Jemand teilte der Beraterin mit, dass sie in ihrer Vergangenheit Drogen missbraucht hatte.
Jemand gab gegenüber dem Berater an, dass er in seiner Vergangenheit Drogen missbraucht hatte.
Der Hausbesitzer fragte den Gutachter, ob die Bausubstanz des von ihm gekauften Hauses intakt sei.
Die Hausbesitzerin fragte den Gutachter, ob die Bausubstanz des von ihr gekauften Hauses intakt sei.
Der Hausbesitzer fragte den Gutachter, ob die Bausubstanz des gekauften Hauses intakt sei.
Jemand fragte den Gutachter, ob die Bausubstanz des von ihm gekauften Hauses intakt sei.
Jemand fragte den Gutachter, ob die Bausubstanz des von ihr gekauften Hauses intakt sei.
Jemand fragte den Gutachter, ob die Bausubstanz des gekauften Hauses intakt sei.
Der Hausbesitzer fragte den Inspektor, ob er Verstöße gegen die Bauordnung festgestellt habe.
Die Hausbesitzerin fragte die Inspektorin, ob ihr Verstöße gegen die Bauordnung aufgefallen seien.
Der Hausbesitzer fragte den Inspektor, ob er Verstöße gegen die Bauordnung festgestellt habe.
Jemand fragte den Inspektor, ob er Verstöße gegen die Bauordnung entdeckt habe.
Jemand fragte die Inspektorin, ob sie Verstöße gegen die Bauordnung entdeckt habe.
Jemand fragte den Inspektor, ob er Verstöße gegen die Bauordnung festgestellt habe.
Der Mechaniker rief an, um dem Kunden mitzuteilen, dass sein Auto am Morgen fertig sei.
Der Mechaniker rief an, um der Kundin mitzuteilen, dass ihr Auto am Morgen fertig sei.
Der Mechaniker rief an, um dem Kunden mitzuteilen, dass sein Auto am Morgen fertig sei.
Der Mechaniker rief an, um jemandem mitzuteilen, dass sein Auto am Morgen fertig sein würde.
Der Mechaniker rief an, um jemandem mitzuteilen, dass ihr Auto am Morgen fertig sein würde.
Der Mechaniker rief an, um jemandem mitzuteilen, dass sein Auto am Morgen fertig sein würde.
Der Mechaniker rief an, um dem Kunden mitzuteilen, dass er die Reparatur abgeschlossen hatte.
Die Mechanikerin rief an, um der Kundin mitzuteilen, dass die Reparatur abgeschlossen sei.
Der Mechaniker rief an, um dem Kunden mitzuteilen, dass die Reparatur abgeschlossen sei.
Der Mechaniker rief an, um jemandem mitzuteilen, dass er die Reparatur abgeschlossen hatte.
Die Mechanikerin rief an, um jemandem mitzuteilen, dass sie die Reparatur abgeschlossen hatte.
Der Mechaniker rief an, um jemandem mitzuteilen, dass die Reparatur abgeschlossen sei.
Der Kunde bat darum, mit dem Manager zu sprechen, da dieser den Abrechnungsfehler beheben könne.
Der Kunde bat darum, mit der Managerin zu sprechen, da diese den Abrechnungsfehler beheben könne.
Der Kunde bat darum, mit dem Manager zu sprechen, da dieser den Abrechnungsfehler beheben könne.
Jemand bat darum, mit dem Manager zu sprechen, weil dieser den Abrechnungsfehler beheben könne.
Jemand bat darum, mit der Managerin zu sprechen, weil sie den Abrechnungsfehler beheben könne.
Jemand bat darum, mit dem Manager zu sprechen, weil dieser den Abrechnungsfehler beheben könne.
Der Kunde verlangte ein Gespräch mit dem Manager, da er den Abrechnungsfehler schnell beheben wollte.
Die Kundin verlangte ein Gespräch mit dem Manager, da sie den Abrechnungsfehler schnell beheben wollte.
Der Kunde wollte mit dem Manager sprechen, weil der Abrechnungsfehler schnell behoben werden sollte.
Jemand bat um ein Gespräch mit dem Manager, weil er den Abrechnungsfehler schnell beheben wollte.
Jemand bat darum, mit der Managerin zu sprechen, weil sie den Abrechnungsfehler schnell beheben wollte.
Jemand bat um ein Gespräch mit dem Manager, weil er den Abrechnungsfehler schnell beheben wollte.
Der Teenager vertraute sich dem Therapeuten an, weil er vertrauenswürdig erschien.
Der Teenager vertraute sich der Therapeutin an, weil sie ihm vertrauenswürdig erschien.
Der Teenager vertraute sich dem Therapeuten an, weil dieser ihm vertrauenswürdig erschien.
Jemand vertraute sich dem Therapeuten an, weil er vertrauenswürdig erschien.
Jemand vertraute sich der Therapeutin an, weil sie vertrauenswürdig erschien.
Jemand hat sich dem Therapeuten anvertraut, weil dieser vertrauenswürdig erschien.
Der Teenager vertraute sich dem Therapeuten an, weil er emotionale Unterstützung suchte.
Die Teenagerin vertraute sich der Therapeutin an, weil sie emotionale Unterstützung suchte.
Der Teenager vertraute sich dem Therapeuten an, weil er emotionale Unterstützung suchte.
Jemand vertraute sich dem Therapeuten an, weil er emotionale Unterstützung suchte.
Jemand vertraute sich dem Therapeuten an, weil sie emotionale Unterstützung suchte.
Jemand hat sich dem Therapeuten anvertraut, weil er emotionale Unterstützung suchte.
Der Student überreichte dem Administrator eine von ihm organisierte Petition.
Die Studentin überreichte der Administratorin eine von ihr organisierte Petition.
Der Student überreichte dem Administrator eine von ihm organisierte Petition.
Jemand überreichte dem Administrator eine von ihm organisierte Petition.
Jemand überreichte der Administratorin eine von ihr organisierte Petition.
Jemand überreichte dem Administrator eine von ihm organisierte Petition.
Der Student legte dem Administrator eine Petition vor, von der er nichts wusste.
Die Studentin legte der Administratorin eine Petition vor, von der sie nichts wusste.
Der Student legte dem Administrator eine Petition vor, von der er nichts wusste.
Jemand legte dem Verwalter eine Petition vor, von der er nichts wusste.
Jemand legte der Verwalterin eine Petition vor, von der sie nichts wusste.
Jemand legte dem Administrator eine Petition vor, von der er nichts wusste.
Der Kunde fragte den Verkäufer, ob er ihm die Preise der einzelnen Produkte erläutern könne.
Der Kunde fragte die Verkäuferin, ob sie ihm die Preise der einzelnen Produkte erläutern könne.
Der Kunde fragte den Verkäufer, ob er ihm die Preise der einzelnen Produkte erläutern könne.
Jemand fragte den Verkäufer, ob er die Preise der einzelnen Produkte erklären könne.
Jemand fragte die Verkäuferin, ob sie die Preise der einzelnen Produkte erklären könne.
Jemand fragte den Verkäufer, ob er die Preise der einzelnen Produkte erklären könne.
Der Kunde fragte den Verkäufer, ob er Anspruch auf einen zusätzlichen Rabatt habe.
Die Kundin fragte den Verkäufer, ob sie Anspruch auf einen zusätzlichen Rabatt habe.
Der Kunde fragte den Verkäufer, ob er Anspruch auf einen zusätzlichen Rabatt habe.
Jemand fragte den Verkäufer, ob er Anspruch auf einen zusätzlichen Rabatt habe.
Jemand fragte die Verkäuferin, ob sie Anspruch auf einen zusätzlichen Rabatt hätte.
Jemand fragte den Verkäufer, ob er Anspruch auf einen zusätzlichen Rabatt hätte.
Der Besucher fragte die Rezeptionistin, ob er sich anmelden müsse.
Die Besucherin fragte die Rezeptionistin, ob sie sich anmelden müsse.
Der Besucher fragte die Rezeptionistin, ob er sich anmelden müsse.
Jemand fragte die Rezeptionistin, ob er sich anmelden müsse.
Jemand fragte die Rezeptionistin, ob sie sich anmelden müsse.
Jemand fragte die Rezeptionistin, ob er sich anmelden müsse.
Der Besucher fragte die Rezeptionistin, ob er abschätzen könne, wie lange die Wartezeit sein werde.
Der Besucher fragte die Rezeptionistin, ob sie abschätzen könne, wie lange die Wartezeit sein würde.
Der Besucher fragte die Rezeptionistin, ob sie abschätzen könne, wie lange die Wartezeit sein würde.
Jemand fragte den Rezeptionisten, ob er abschätzen könne, wie lange die Wartezeit sein würde.
Jemand fragte die Rezeptionistin, ob sie abschätzen könne, wie lange die Wartezeit sein würde.
Jemand fragte die Rezeptionistin, ob sie abschätzen könne, wie lange die Wartezeit sein würde.
Die Bibliothekarin half dem Kind, ein Buch auszusuchen, weil es nicht wusste, was es lesen sollte.
Die Bibliothekarin half dem Kind, ein Buch auszusuchen, weil es nicht wusste, was es lesen sollte.
Die Bibliothekarin half dem Kind, ein Buch auszusuchen, weil es nicht wusste, was es lesen sollte.
Die Bibliothekarin half jemandem, ein Buch auszusuchen, weil er nicht wusste, was er lesen sollte.
Die Bibliothekarin half jemandem, ein Buch auszusuchen, weil sie nicht wusste, was sie lesen sollte.
Die Bibliothekarin half jemandem, ein Buch auszusuchen, weil er nicht wusste, was er lesen sollte.
Die Bibliothekarin half dem Kind, ein Buch auszusuchen, weil sie es gern zum Lesen anregte.
Die Bibliothekarin half dem Kind, ein Buch auszusuchen, weil sie das Lesen gern förderte.
Die Bibliothekarin half dem Kind, ein Buch auszusuchen, weil sie es gern zum Lesen ermutigte.
Der Bibliothekar half jemandem beim Aussuchen eines Buches, weil er gerne zum Lesen anregte.
Die Bibliothekarin half jemandem beim Aussuchen eines Buches, weil sie gerne zum Lesen anregte.
Die Bibliothekarin half jemandem beim Aussuchen eines Buches, weil sie das Lesen fördern wollte.
Der Berater traf sich mit dem Ratsuchenden, weil er Ratschläge zu Bewerbungen einholen wollte.
Der Berater traf sich mit der Beratenen, weil sie Ratschläge zu Bewerbungen einholen wollte.
Der Berater traf sich mit dem Ratsuchenden, weil dieser Ratschläge zu Bewerbungen einholen wollte.
Der Berater traf sich mit jemandem, weil er Ratschläge zum Thema Bewerbung einholen wollte.
Die Beraterin hat sich mit jemandem getroffen, weil sie Ratschläge zum Thema Bewerbung einholen wollte.
Der Berater hat sich mit jemandem getroffen, weil er Ratschläge zum Thema Bewerbung einholen wollte.
Der Berater traf sich mit dem Beratenen, weil er Ratschläge zu Bewerbungen geben wollte.
Die Beraterin traf sich mit der Kandidatin, weil sie Ratschläge zu Bewerbungen geben wollte.
Der Berater traf sich mit dem Beratenen, weil er Ratschläge zur Bewerbung geben wollte.
Der Berater hat sich mit jemandem getroffen, weil er Ratschläge zum Thema Bewerbung geben wollte.
Die Beraterin hat sich mit jemandem getroffen, weil sie Ratschläge zum Thema Bewerbung geben wollte.
Der Berater hat sich mit jemandem getroffen, weil dieser Ratschläge zum Thema Bewerbung geben wollte.
Der Apotheker sagte dem Patienten, dass er die Tabletten zusammen mit einer Mahlzeit einnehmen solle.
Der Apotheker sagte der Patientin, dass sie die Tabletten zusammen mit einer Mahlzeit einnehmen solle.
Der Apotheker sagte dem Patienten, dass er die Tabletten zusammen mit einer Mahlzeit einnehmen solle.
Der Apotheker sagte jemandem, er solle die Tabletten zusammen mit einer Mahlzeit einnehmen.
Der Apotheker sagte einer Person, dass sie die Tabletten zusammen mit einer Mahlzeit einnehmen solle.
Der Apotheker sagte jemandem, er solle die Tabletten zusammen mit einer Mahlzeit einnehmen.
Der Apotheker teilte dem Patienten mit, dass er die Einnahme der Tabletten zusammen mit einer Mahlzeit empfehle.
Die Apothekerin teilte der Patientin mit, dass sie die Einnahme der Tabletten zusammen mit einer Mahlzeit empfehle.
Der Apotheker teilte dem Patienten mit, dass die Einnahme der Tabletten zusammen mit einer Mahlzeit empfohlen werde.
Der Apotheker sagte jemandem, dass er die Einnahme der Tabletten zusammen mit einer Mahlzeit empfehle.
Die Apothekerin sagte jemandem, dass sie die Einnahme der Tabletten zusammen mit einer Mahlzeit empfehle.
Der Apotheker sagte jemandem, dass er die Einnahme der Tabletten zusammen mit einer Mahlzeit empfehle.
Der Hausmeister warnte das Kind davor, auf den nassen Boden zu treten, da es sonst stürzen und sich verletzen könnte.
Der Hausmeister warnte das Kind davor, auf den nassen Boden zu treten, da es sonst stürzen und sich verletzen könnte.
Der Hausmeister warnte das Kind davor, auf den nassen Boden zu treten, da es sonst stürzen und sich verletzen könnte.
Der Hausmeister warnte jemanden, nicht auf den nassen Boden zu treten, da er sonst stürzen und sich verletzen könnte.
Der Hausmeister warnte jemanden, nicht auf den nassen Boden zu treten, da sie sonst stürzen und sich verletzen könnte.
Der Hausmeister warnte jemanden, nicht auf den nassen Boden zu treten, da er sonst stürzen und sich verletzen könnte.
Der Hausmeister warnte das Kind, nicht auf den nassen Boden zu treten, sonst müsse es alles noch einmal wischen.
Die Hausmeisterin warnte das Kind davor, auf den nassen Boden zu treten, sonst müsse es ihn noch einmal wischen.
Der Hausmeister warnte das Kind davor, auf den nassen Boden zu treten, da es sonst alles noch einmal wischen müsse.
Der Hausmeister ermahnte jemanden, den nassen Boden nicht zu betreten, da er ihn sonst erneut wischen müsse.
Die Hausmeisterin warnte jemanden davor, auf den nassen Boden zu treten, sonst müsse sie ihn noch einmal wischen.
Der Hausmeister ermahnte jemanden, den nassen Boden nicht zu betreten, da er sonst erneut gewischt werden müsse.
Der Psychologe forderte den Patienten auf, einen Fragebogen auszufüllen, um eine vorläufige Einschätzung vornehmen zu können.
Die Psychologin forderte die Patientin auf, einen Fragebogen auszufüllen, um eine vorläufige Einschätzung vornehmen zu können.
Der Psychologe forderte den Patienten auf, einen Fragebogen auszufüllen, um eine vorläufige Einschätzung vornehmen zu können.
Der Psychologe bat jemanden, einen Fragebogen auszufüllen, damit er eine vorläufige Einschätzung vornehmen könne.
Die Psychologin bat jemanden, einen Fragebogen auszufüllen, damit sie eine vorläufige Einschätzung vornehmen könne.
Der Psychologe forderte jemanden auf, einen Fragebogen auszufüllen, um eine vorläufige Einschätzung vornehmen zu können.
Der Psychologe forderte den Patienten auf, einen Fragebogen auszufüllen, damit er schnell beurteilt werden könne.
Der Psychologe forderte die Patientin auf, einen Fragebogen auszufüllen, damit sie schnell beurteilt werden könne.
Der Psychologe forderte den Patienten auf, einen Fragebogen auszufüllen, damit eine schnelle Beurteilung möglich sei.
Der Psychologe forderte jemanden auf, einen Fragebogen auszufüllen, damit er schnell beurteilt werden könne.
Der Psychologe bat jemanden, einen Fragebogen auszufüllen, damit sie schnell beurteilt werden könne.
Der Psychologe forderte jemanden auf, einen Fragebogen auszufüllen, damit die Person schnell beurteilt werden könne.
Der Arzt warnte den Patienten, dass er sich mehr ausruhen müsse.
Der Arzt warnte die Patientin, dass sie sich mehr ausruhen müsse.
Der Arzt warnte den Patienten, dass er sich mehr ausruhen müsse.
Der Arzt warnte jemanden, dass er sich mehr ausruhen müsse.
Der Arzt warnte jemanden, dass sie sich mehr ausruhen müsse.
Der Arzt hat jemanden gewarnt, dass er sich mehr ausruhen müsse.
Der Arzt warnte den Patienten, dass er keine höhere Dosis bedenkenlos verschreiben könne.
Die Ärztin warnte die Patientin, dass sie keine höhere Dosis bedenkenlos verschreiben könne.
Der Arzt warnte den Patienten, dass er ihm nicht ohne Bedenken eine höhere Dosis verschreiben könne.
Der Arzt warnte jemanden, dass er keine höhere Dosis bedenkenlos verschreiben könne.
Die Ärztin warnte jemanden, dass sie keine höhere Dosis bedenkenlos verschreiben könne.
Der Arzt warnte jemanden, dass er nicht bedenkenlos eine höhere Dosis verschreiben könne.
Der Zimmermann erklärte dem Zuschauer, dass er mindestens neun Meter von der Baustelle entfernt stehen müsse.
Der Zimmermann teilte der Zuschauerin mit, dass sie mindestens neun Meter von der Baustelle entfernt stehen müsse.
Der Zimmermann erklärte dem Zuschauer, dass er mindestens neun Meter von der Baustelle entfernt stehen müsse.
Der Zimmermann sagte jemandem, dass er mindestens neun Meter von der Baustelle entfernt stehen müsse.
Der Zimmermann sagte jemandem, dass sie mindestens neun Meter von der Baustelle entfernt stehen müsse.
Der Zimmermann sagte jemandem, dass er mindestens neun Meter von der Baustelle entfernt stehen müsse.
Der Zimmermann erzählte dem Zuschauer, dass er seit drei Wochen an dem Haus arbeite.
Die Zimmerfrau erzählte dem Zuschauer, dass sie seit drei Wochen an dem Haus arbeite.
Der Zimmermann erzählte dem Zuschauer, dass sie seit drei Wochen an dem Haus gearbeitet hätten.
Der Zimmermann erzählte jemandem, dass er seit drei Wochen an dem Haus arbeite.
Die Zimmerfrau erzählte jemandem, dass sie drei Wochen an dem Haus gearbeitet hatte.
Der Zimmermann erzählte jemandem, dass sie seit drei Wochen an dem Haus gearbeitet hätten.
Die Krankenschwester teilte dem Patienten mit, dass seine Schicht in einer Stunde enden würde.
Die Krankenschwester teilte der Patientin mit, dass ihre Schicht in einer Stunde enden würde.
Die Krankenschwester teilte dem Patienten mit, dass seine Schicht in einer Stunde enden würde.
Der Krankenpfleger teilte jemandem mit, dass seine Schicht in einer Stunde enden würde.
Die Krankenschwester teilte jemandem mit, dass ihre Schicht in einer Stunde enden würde.
Die Krankenschwester teilte jemandem mit, dass seine Schicht in einer Stunde enden würde.
Die Krankenschwester teilte dem Patienten mit, dass ihm in einer Stunde Blut abgenommen würde.
Die Krankenschwester teilte der Patientin mit, dass ihr in einer Stunde Blut abgenommen würde.
Die Krankenschwester teilte dem Patienten mit, dass ihm in einer Stunde Blut abgenommen würde.
Die Krankenschwester teilte jemandem mit, dass ihm in einer Stunde Blut abgenommen würde.
Die Krankenschwester teilte jemandem mit, dass ihr in einer Stunde Blut abgenommen würde.
Die Krankenschwester teilte jemandem mit, dass in einer Stunde Blut abgenommen würde.
Der Ermittler wollte den Zeugen persönlich befragen, doch er war nicht erreichbar.
Der Ermittler wollte die Zeugin persönlich befragen, doch sie war nicht erreichbar.
Der Ermittler wollte den Zeugen persönlich befragen, doch dieser war nicht erreichbar.
Der Ermittler wollte jemanden persönlich befragen, dieser war jedoch nicht erreichbar.
Der Ermittler wollte jemanden persönlich befragen, aber sie war nicht erreichbar.
Der Ermittler wollte jemanden persönlich befragen, die Person war jedoch nicht erreichbar.
Der Ermittler wollte den Zeugen persönlich befragen, konnte jedoch keinen Kontakt herstellen.
Die Ermittlerin wollte die Zeugin persönlich befragen, es gelang ihr jedoch nicht, Kontakt mit ihr aufzunehmen.
Der Ermittler wollte den Zeugen persönlich befragen, konnte jedoch keinen Kontakt herstellen.
Der Ermittler wollte jemanden persönlich befragen, konnte jedoch keinen Kontakt herstellen.
Die Ermittlerin wollte jemanden persönlich befragen, konnte jedoch keinen Kontakt herstellen.
Der Ermittler wollte jemanden persönlich befragen, konnte jedoch keinen Kontakt herstellen.
Der Kunde gab dem Barkeeper ein großzügiges Trinkgeld, weil er in Großzügigkeit verfiel.
Die Kundin gab der Barkeeperin ein großzügiges Trinkgeld, weil sie in Großzügigkeit verfiel.
Der Kunde gab dem Barkeeper ein großzügiges Trinkgeld, weil er sich großzügig fühlte.
Jemand hat dem Barkeeper ein großzügiges Trinkgeld gegeben, weil er in Großzügigkeit war.
Jemand hat der Barkeeperin ein großzügiges Trinkgeld gegeben, weil sie in Großzügigkeit war.
Jemand hat dem Barkeeper aus Großzügigkeit ein großzügiges Trinkgeld gegeben.
Der Kunde gab dem Barkeeper ein großzügiges Trinkgeld, da dieser das Getränk sehr stark gemacht hatte.
Der Kunde gab der Barkeeperin ein großzügiges Trinkgeld, da sie das Getränk sehr stark gemacht hatte.
Der Kunde gab dem Barkeeper ein großzügiges Trinkgeld, weil dieser das Getränk sehr stark gemacht hatte.
Jemand gab dem Barkeeper ein großzügiges Trinkgeld, weil er das Getränk sehr stark gemacht hatte.
Jemand gab der Barkeeperin ein großzügiges Trinkgeld, weil sie das Getränk sehr stark gemacht hatte.
Jemand gab dem Barkeeper ein großzügiges Trinkgeld, weil er das Getränk sehr stark gemacht hatte.
Der Patient wurde an den Spezialisten überwiesen, da er an einer seltenen Hauterkrankung litt.
Die Patientin wurde an den Spezialisten überwiesen, da sie an einer seltenen Hauterkrankung litt.
Der Patient wurde an den Spezialisten überwiesen, da er an einer seltenen Hauterkrankung litt.
Jemand wurde an den Spezialisten überwiesen, weil er eine seltene Hautkrankheit hatte.
Eine Frau wurde an einen Spezialisten überwiesen, da sie an einer seltenen Hauterkrankung litt.
Jemand wurde an den Spezialisten überwiesen, weil er eine seltene Hauterkrankung hatte.
Der Patient wurde an den Spezialisten überwiesen, da dieser über Kenntnisse zu seltenen Hauterkrankungen verfügte.
Die Patientin wurde an den Spezialisten überwiesen, da sie über Kenntnisse zu seltenen Hauterkrankungen verfügte.
Der Patient wurde an den Spezialisten überwiesen, da dieser über Kenntnisse zu seltenen Hauterkrankungen verfügte.
Jemand wurde an den Spezialisten überwiesen, weil er sich mit seltenen Hauterkrankungen auskannte.
